utterance,expected_outcome,is_main_concept
to have something.,0,0
to do.,0,0
with the mice getting the key.,1,1
and letting her out I think.,1,1
And uh.,0,0
so she runs down they slipper fits.,1,1
and she ends up getting married.,1,1
and being happily married forever and ever.,1,1
Once upon a time.,0,1
There was a girl named Cinderella.,1,1
and she lived with her sisters and her mother.,1,1
And she had.,0,1
to do all the work.,1,0
And her sisters were getting ready for a ball.,1,1
and she was not invited.,1,1
So um I guess a fairy came along.,1,1
and helped her get all dued up for the uh for the ball unknown to her sisters.,1,1
and she goes to the ball.,1,1
and looks really beautiful and pretty and everything.,1,1
And meets the prince and dances with the prince.,1,1
However there is a limit to this uh situation.,0,0
She has got to be home by 12 which is appropriate for a young lady like her.,1,1
So she uh races to her pumpkin mobile.,1,1
and gets home on time.,1,1
but in the process loses her glass slipper.,1,1
So Uh the prince being gobsmacked by this young lady has some clue to who this might be.,1,1
so he's going all around trying.,1,0
to find the foot.,1,1
that fits.,1,1
And he finally finds Cinderella.,1,1
and they uh they kind of get hooked up I guess.,1,0
and live happily ever after.,1,1
has 2 sisters.,1,1
Um to the um.,0,0
The uh cos of the old.,0,0
Um.,0,0
as soon sooner rather uh not go to the the poor.,0,0
Of the um.,0,0
Sent.,0,0
and met the prince.,0,1
Um The um Um The um um.,0,0
That send it right on um um.,0,0
Um That 's the um.,0,0
Ah Um Yeah Um Um The fairy godmother yes.,1,1
For a couple of the um uh.,0,0
The uh Charles Moon the uh um mass the um.,0,0
The um uh uh.,0,0
Ho Um the uh carriage right.,1,1
Um um the um.,0,0
Center of the um.,0,0
Uh the uh Uh shoes and the uh.,1,1
Um Trust yeah.,0,0
On the uh on the uh.,0,0
Yeah.,0,0
The uh uh.,0,0
Cancer than the uh um.,0,0
Um The um 2 run um so from the uh.,0,1
Um Palos yeah.,0,0
Um Um.,0,0
Yeah.,0,0
It's chaps.,0,0
Um um.,0,0
And the um previous record magazine.,0,0
And the uh that Um Um sort of a park.,0,0
Um Um.,0,0
The um um um.,0,0
Uh so like uh the um uh.,0,0
Center uh um uh.,0,0
Um He chopped down the ss um the Um Um Um Uh the um.,1,0
Um The um uh.,0,0
Uh uh so the business um um.,0,0
Um Goats right right.,0,0
Um yes um.,0,0
You should yeah yeah yeah I like class right you know um yeah um.,0,0
The uh Uh they go.,0,1
and swim out they go back to the house.,1,1
Um yeah yeah.,0,0
And their prints.,0,0
The uh shoes were a class.,1,1
Um yeah yeah.,0,0
Uh The um Try.,0,0
to do.,0,0
that uh tried it.,0,0
Um Uh.,0,0
Um they you know.,0,0
Um This is right up on the uh.,0,0
Uh parties.,1,1
Um so um.,0,0
Um The um uh prince.,1,1
I know she used to work.,1,0
She did like a lot of household chores.,1,1
And she had a what you would call her someone.,0,1
that looked over you know was in charge and was not very nice to her.,1,1
And um Um I remember her losing uh one of her slippers.,1,1
And um she had.,0,1
to go through the process or the it's a process.,0,0
to This prince she met this prince.,1,1
and He had she'd been involved with him.,1,1
and then I guess he was looking for her.,1,1
And he said whoever whoever's foot fit into the slipper.,1,1
Was the Cinderella I guess.,1,1
that he was looking.,1,1
