utterance,expected_outcome,is_main_concept
to have something.,0,1
to do.,0,1
with the mice getting the key.,1,0
and letting her out I think.,1,0
And uh.,0,0
so she runs down they slipper fits.,1,1
and she ends up getting married.,1,1
and being happily married forever and ever.,1,1
Once upon a time.,0,1
There was a girl named Cinderella.,1,1
and she lived with her sisters and her mother.,1,0
And she had.,0,1
to do all the work.,1,1
And her sisters were getting ready for a ball.,1,1
and she was not invited.,1,1
